Date,open,predicted
2023-01-03 05:00:00,130.28,NA
2023-01-04 05:00:00,126.89,NA
2023-01-05 05:00:00,127.13,NA
2023-01-06 05:00:00,126.01,NA
2023-01-09 05:00:00,130.465,NA
2023-01-10 05:00:00,130.26,NA
2023-01-11 05:00:00,131.25,NA
2023-01-12 05:00:00,133.88,NA
2023-01-13 05:00:00,132.03,NA
2023-01-17 05:00:00,134.83,NA
2023-01-18 05:00:00,136.815,148.33
2023-01-19 05:00:00,134.08,148.8
2023-01-20 05:00:00,135.28,149.18
2023-01-23 05:00:00,138.12,149.63
2023-01-24 05:00:00,140.305,150.11
2023-01-25 05:00:00,140.89,150.69
2023-01-26 05:00:00,143.17,151.25
2023-01-27 05:00:00,143.155,151.81
2023-01-30 05:00:00,144.955,152.44
2023-01-31 05:00:00,142.7,152.94
2023-02-01 05:00:00,143.97,153.38
2023-02-02 05:00:00,148.9,153.82
2023-02-03 05:00:00,148.03,154.44
2023-02-06 05:00:00,152.575,155.23
2023-02-07 05:00:00,150.64,155.95
2023-02-08 05:00:00,153.88,156.7
2023-02-09 05:00:00,153.775,157.37
2023-02-10 05:00:00,149.46,157.84
2023-02-13 05:00:00,150.952,158.15
2023-02-14 05:00:00,152.12,158.57
2023-02-15 05:00:00,153.11,158.93
2023-02-16 05:00:00,153.51,159.31
2023-02-17 05:00:00,152.35,159.49
2023-02-21 05:00:00,150.2,159.5
2023-02-22 05:00:00,148.87,159.38
2023-02-23 05:00:00,150.09,159.06
2023-02-24 05:00:00,147.11,158.8
2023-02-27 05:00:00,147.71,158.46
2023-02-28 05:00:00,147.05,158.1
2023-03-01 05:00:00,146.83,157.68
2023-03-02 05:00:00,144.38,157.22
2023-03-03 05:00:00,148.045,156.73
2023-03-06 05:00:00,153.785,156.55
2023-03-07 05:00:00,153.7,156.69
2023-03-08 05:00:00,152.81,156.99
2023-03-09 05:00:00,153.559,157.35
2023-03-10 05:00:00,150.21,157.61
2023-03-13 04:00:00,147.805,157.78
2023-03-14 04:00:00,151.28,157.89
2023-03-15 04:00:00,151.19,158.08
2023-03-16 04:00:00,152.16,158.38
2023-03-17 04:00:00,156.08,158.78
2023-03-20 04:00:00,155.07,159.07
2023-03-21 04:00:00,157.32,159.4
2023-03-22 04:00:00,159.3,159.94
2023-03-23 04:00:00,158.83,160.43
2023-03-24 04:00:00,158.86,161.0
2023-03-27 04:00:00,159.94,161.66
2023-03-28 04:00:00,157.97,162.15
2023-03-29 04:00:00,159.37,162.46
2023-03-30 04:00:00,161.53,162.81
2023-03-31 04:00:00,162.44,163.16
2023-04-03 04:00:00,164.27,163.71
2023-04-04 04:00:00,166.595,164.3
2023-04-05 04:00:00,164.74,164.88
2023-04-06 04:00:00,162.43,165.42
2023-04-10 04:00:00,161.42,165.87
2023-04-11 04:00:00,162.35,166.1
2023-04-12 04:00:00,161.22,166.23
2023-04-13 04:00:00,161.63,166.21
2023-04-14 04:00:00,164.59,166.23
2023-04-17 04:00:00,165.09,166.29
2023-04-18 04:00:00,166.1,166.34
2023-04-19 04:00:00,165.8,166.45
2023-04-20 04:00:00,166.09,166.7
2023-04-21 04:00:00,165.05,167.04
2023-04-24 04:00:00,165.0,167.26
2023-04-25 04:00:00,165.19,167.51
2023-04-26 04:00:00,163.055,167.67
2023-04-27 04:00:00,165.19,167.76
2023-04-28 04:00:00,168.49,167.79
2023-05-01 04:00:00,169.28,168.01
2023-05-02 04:00:00,170.09,168.34
2023-05-03 04:00:00,169.5,168.61
2023-05-04 04:00:00,164.89,168.79
2023-05-05 04:00:00,170.975,168.88
2023-05-08 04:00:00,172.48,169.31
2023-05-09 04:00:00,173.05,169.88
2023-05-10 04:00:00,173.02,170.5
2023-05-11 04:00:00,173.85,171.15
2023-05-12 04:00:00,173.62,171.63
2023-05-15 04:00:00,173.16,172.0
2023-05-16 04:00:00,171.99,172.3
2023-05-17 04:00:00,171.71,172.58
2023-05-18 04:00:00,173.0,172.88
2023-05-19 04:00:00,176.39,173.31
2023-05-22 04:00:00,173.98,173.44
2023-05-23 04:00:00,173.13,173.58
2023-05-24 04:00:00,171.09,173.66
2023-05-25 04:00:00,172.41,173.57
2023-05-26 04:00:00,173.32,173.49
2023-05-30 04:00:00,176.96,173.6
2023-05-31 04:00:00,177.325,173.9
2023-06-01 04:00:00,177.7,174.29
2023-06-02 04:00:00,181.03,174.84
2023-06-05 04:00:00,182.63,175.43
2023-06-06 04:00:00,179.965,176.04
2023-06-07 04:00:00,178.44,176.66
2023-06-08 04:00:00,177.895,177.25
2023-06-09 04:00:00,181.5,177.84
2023-06-12 04:00:00,181.27,178.38
2023-06-13 04:00:00,182.8,178.93
2023-06-14 04:00:00,183.37,179.44
2023-06-15 04:00:00,183.96,180.0
2023-06-16 04:00:00,186.73,180.55
2023-06-20 04:00:00,184.41,181.08
2023-06-21 04:00:00,184.9,181.68
2023-06-22 04:00:00,183.74,182.2
2023-06-23 04:00:00,185.55,182.86
2023-06-26 04:00:00,186.83,183.37
2023-06-27 04:00:00,185.89,183.77
2023-06-28 04:00:00,187.93,184.1
2023-06-29 04:00:00,189.08,184.58
2023-06-30 04:00:00,191.63,185.09
2023-07-03 04:00:00,193.78,185.77
2023-07-05 04:00:00,191.565,186.61
2023-07-06 04:00:00,189.84,187.4
2023-07-07 04:00:00,191.41,188.21
2023-07-10 04:00:00,189.26,188.72
2023-07-11 04:00:00,189.16,189.04
2023-07-12 04:00:00,189.68,189.25
2023-07-13 04:00:00,190.5,189.23
2023-07-14 04:00:00,190.23,189.15
2023-07-17 04:00:00,191.9,189.08
2023-07-18 04:00:00,193.35,188.98
2023-07-19 04:00:00,193.1,189.14
2023-07-20 04:00:00,195.09,189.56
2023-07-21 04:00:00,194.1,189.94
2023-07-24 04:00:00,193.41,190.31
2023-07-25 04:00:00,193.33,190.76
2023-07-26 04:00:00,193.67,191.22
2023-07-27 04:00:00,196.02,191.59
2023-07-28 04:00:00,194.67,191.85
2023-07-31 04:00:00,196.06,192.18
2023-08-01 04:00:00,196.235,192.39
2023-08-02 04:00:00,195.04,192.66
2023-08-03 04:00:00,191.57,192.69
2023-08-04 04:00:00,185.52,192.66
2023-08-07 04:00:00,182.13,192.04
2023-08-08 04:00:00,179.69,190.75
2023-08-09 04:00:00,180.87,189.09
2023-08-10 04:00:00,179.48,187.17
2023-08-11 04:00:00,177.32,185.26
2023-08-14 04:00:00,177.97,183.26
2023-08-15 04:00:00,178.88,181.51
2023-08-16 04:00:00,177.13,179.99
2023-08-17 04:00:00,177.14,178.79
2023-08-18 04:00:00,172.3,177.69
2023-08-21 04:00:00,175.07,177.09
2023-08-22 04:00:00,177.06,176.71
2023-08-23 04:00:00,178.52,176.4
2023-08-24 04:00:00,180.674,176.47
2023-08-25 04:00:00,177.38,176.49
2023-08-28 04:00:00,180.09,176.6
2023-08-29 04:00:00,179.695,176.76
2023-08-30 04:00:00,184.94,177.3
2023-08-31 04:00:00,187.84,178.22
2023-09-01 04:00:00,189.485,179.46
2023-09-05 04:00:00,188.28,180.82
2023-09-06 04:00:00,188.4,182.18
2023-09-07 04:00:00,175.18,183.09
2023-09-08 04:00:00,178.35,183.23
2023-09-11 04:00:00,180.07,183.27
2023-09-12 04:00:00,179.49,182.98
2023-09-13 04:00:00,176.51,182.32
2023-09-14 04:00:00,174.0,181.18
2023-09-15 04:00:00,176.48,179.87
2023-09-18 04:00:00,176.48,178.6
