Date,open,high,low,close,volume
2024-10-01 04:00:00,229.52,229.65,223.74,226.21,59761880.0
2024-10-02 04:00:00,225.89,227.37,223.02,226.78,31929459.0
2024-10-03 04:00:00,225.14,226.805,223.32,225.67,32633355.0
2024-10-04 04:00:00,227.9,228.0,224.13,226.8,35647254.0
2024-10-07 04:00:00,224.5,225.69,221.33,221.69,37595470.0
2024-10-08 04:00:00,224.3,225.98,223.25,225.77,30387437.0
2024-10-09 04:00:00,225.23,229.75,224.83,229.54,31586075.0
2024-10-10 04:00:00,227.78,229.5,227.17,229.04,27135650.0
2024-10-11 04:00:00,229.3,229.41,227.34,227.55,30412936.0
2024-10-14 04:00:00,228.7,231.73,228.6,231.3,34386471.0
2024-10-15 04:00:00,233.61,237.49,232.37,233.85,60799239.0
2024-10-16 04:00:00,231.6,232.12,229.84,231.78,33354125.0
2024-10-17 04:00:00,233.43,233.85,230.52,232.15,29019084.0
2024-10-18 04:00:00,236.18,236.18,234.01,235.0,43643976.0
2024-10-21 04:00:00,234.45,236.85,234.45,236.48,34128130.0
2024-10-22 04:00:00,233.885,236.22,232.6,235.86,35412947.0
2024-10-23 04:00:00,234.08,235.144,227.76,230.76,51447561.0
2024-10-24 04:00:00,229.98,230.82,228.41,230.57,28895111.0
2024-10-25 04:00:00,229.74,233.22,229.57,231.41,36791251.0
2024-10-28 04:00:00,233.32,234.73,232.55,233.4,32964281.0
2024-10-29 04:00:00,233.1,234.325,232.32,233.67,31895656.0
2024-10-30 04:00:00,232.61,233.2299,229.55,230.1,44279666.0
2024-10-31 04:00:00,229.34,229.83,225.37,225.91,60034650.0
