Date,open,high,low,close,volume
2024-10-01 04:00:00,28.78,29.06,28.545,28.58,23296392.0
2024-10-02 04:00:00,29.13,29.46,28.68,29.0,21103120.0
2024-10-03 04:00:00,28.91,29.37,28.79,29.23,18907239.0
2024-10-04 04:00:00,29.23,30.07,28.98,29.36,38819902.0
2024-10-07 04:00:00,29.01,29.08,28.705,28.93,20225050.0
2024-10-08 04:00:00,28.41,28.53,27.47,28.01,38925635.0
2024-10-09 04:00:00,27.62,27.9899,27.56,27.86,20053256.0
2024-10-10 04:00:00,27.97,28.43,27.92,28.38,18157956.0
2024-10-11 04:00:00,28.6,28.87,28.59,28.8,17095835.0
2024-10-14 04:00:00,28.47,28.755,28.295,28.54,13515360.0
2024-10-15 04:00:00,28.52,28.9,28.42,28.71,16428951.0
2024-10-16 04:00:00,29.12,29.35,28.77,28.91,17789696.0
2024-10-17 04:00:00,28.92,29.195,28.55,28.89,15368192.0
2024-10-18 04:00:00,29.47,30.72,29.419,30.64,45077772.0
2024-10-21 04:00:00,31.13,31.23,30.5107,30.85,36589289.0
2024-10-22 04:00:00,31.4,31.8,31.24,31.74,36588731.0
2024-10-23 04:00:00,31.1,31.11,30.4801,30.71,37351702.0
2024-10-24 04:00:00,31.19,31.23,30.295,30.69,29249189.0
2024-10-25 04:00:00,30.58,31.02,30.47,30.63,19517548.0
2024-10-28 04:00:00,30.71,30.99,30.615,30.73,16283356.0
2024-10-29 04:00:00,31.17,31.51,31.055,31.39,22441851.0
2024-10-30 04:00:00,30.74,30.975,30.4546,30.81,20813178.0
2024-10-31 04:00:00,30.34,30.36,29.62,29.81,33003021.0
