Date,open,high,low,close,volume
2024-10-01 04:00:00,1.36,1.37,1.34,1.34,855920.0
2024-10-02 04:00:00,1.36,1.36,1.32,1.33,631635.0
2024-10-03 04:00:00,1.33,1.33,1.29,1.29,544499.0
2024-10-04 04:00:00,1.3,1.34,1.29,1.3,1356201.0
2024-10-07 04:00:00,1.31,1.34,1.28,1.31,957493.0
2024-10-08 04:00:00,1.3,1.31,1.28,1.3,623058.0
2024-10-09 04:00:00,1.3,1.31,1.28,1.29,535490.0
2024-10-10 04:00:00,1.28,1.285,1.25,1.26,966650.0
2024-10-11 04:00:00,1.26,1.29,1.26,1.29,648885.0
2024-10-14 04:00:00,1.29,1.29,1.2518,1.28,676249.0
2024-10-15 04:00:00,1.28,1.29,1.25,1.26,816727.0
2024-10-16 04:00:00,1.26,1.29,1.26,1.29,658533.0
2024-10-17 04:00:00,1.3,1.3,1.25,1.27,718356.0
2024-10-18 04:00:00,1.26,1.31,1.26,1.31,696250.0
2024-10-21 04:00:00,1.3,1.32,1.2964,1.31,600958.0
2024-10-22 04:00:00,1.31,1.37,1.305,1.37,973440.0
2024-10-23 04:00:00,1.34,1.34,1.31,1.33,668691.0
2024-10-24 04:00:00,1.33,1.37,1.31,1.32,797097.0
2024-10-25 04:00:00,1.32,1.34,1.3,1.3,674364.0
2024-10-28 04:00:00,1.3,1.37,1.3,1.37,805385.0
2024-10-29 04:00:00,1.35,1.56,1.34,1.56,3056859.0
2024-10-30 04:00:00,1.53,1.54,1.35,1.36,1764964.0
2024-10-31 04:00:00,1.36,1.385,1.33,1.35,861539.0
